"","Lower","Estimate","Upper"
"Group 1",58873.3751914812,39102.2435418057,25970.7456049492
"Group 2",Inf,Inf,336658.917866252
"Group 8",433134.316457619,180395.584664022,75132.7376515057
"Group 9",215505.858269357,112032.07462466,58240.577984743
"Group 10",8168.92869171039,6796.2228072884,5654.18626963633
"Group 11",191196.70067096,99508.4389881661,51789.2275081791
"Group 12",69384.4638553234,44713.9519720156,28815.3484204277
"Group 13",1176144.62450983,379516.852281722,122462.015439516
"Group 14",75198.29708013,46099.2592287907,28260.5030161618
"Group 15",401862.264324748,180664.643578551,81221.1454942389
"Group 16",3693.71736511333,3177.6918826977,2733.75699958382
"Group 17",94486.631952792,57848.7969666964,35417.531997183
