"","LineID","Lower","Estimate","Upper"
"1","Group 1",1.49111023415448,1.22722859615966,1.01004606683959
"2","Group 2",1.38287729613318,1.14224524227158,1
"3","Group 8",1.53729015711803,1.2632846167478,1.0381176354524
"4","Group 9",1.36237091380144,1.12606586694214,1
"5","Group 10",1.34221856673348,1.11014091537586,1
"6","Group 11",1.53729015711803,1.2632846167478,1.0381176354524
"7","Group 12",1.513981066312,1.24510041194577,1.02397253857602
"8","Group 13",1.21023588775006,1.00521152418681,1
"9","Group 14",1.85687922604178,1.50971762534614,1.22746125666953
"10","Group 15",1.26494715045147,1.04884439083878,1
"11","Group 16",1.36237091380144,1.12606586694214,1
"12","Group 17",1.4686642407238,1.20965999656659,1
